old_col_name,new_col_name,reverse,min,max
Q2_1,erq_r_1,,,
Q2_2,erq_s_2,,,
Q2_3,erq_r_3,,,
Q2_4,erq_s_4,,,
Q2_5,erq_r_5,,,
Q2_6,erq_s_6,,,
Q2_7,erq_r_7,,,
Q2_8,erq_r_8,,,
Q2_9,erq_s_9,,,
Q2_10,erq_r_10,,,
Q38,srh,,,
Q54,twn,,,
Q55,twn_freq,,,
Q20,age,,,
Q25,gender,,,
Q26,income,,,
Q27,uwaid,,,
SC11,fear_covid,,,
PSS_1,pss_1,,,
PSS_2,pss_2,,,
PSS_3,pss_3,,,
PSS_4,pss_4_rev,1,0,4
PSS_5,pss_5_rev,1,0,4
PSS_6,pss_6,,,
PSS_7,pss_7_rev,1,0,4
PSS_8,pss_8_rev,1,0,4
PSS_9,pss_9,,,
PSS_10,pss_10,,,
PANAS_1,panas_pa_1,,,
PANAS_2,panas_na_2,,,
PANAS_3,panas_pa_3,,,
PANAS_4,panas_na_4,,,
PANAS_5,panas_pa_5,,,
PANAS_6,panas_na_6,,,
PANAS_7,panas_na_7,,,
PANAS_8,panas_na_8,,,
PANAS_9,panas_pa_9,,,
PANAS_10,panas_pa_10,,,
PANAS_11,panas_na_11,,,
PANAS_12,panas_pa_12,,,
PANAS_13,panas_na_13,,,
PANAS_14,panas_pa_14,,,
PANAS_15,panas_na_15,,,
PANAS_16,panas_pa_16,,,
PANAS_17,panas_pa_17,,,
PANAS_18,panas_na_18,,,
PANAS_19,panas_pa_19,,,
PANAS_20,panas_na_20,,,